epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.5649,1.31907,2.50636,1.74385,0.00374,0.97872,0.58326,0.33278,1.34338,3.42256,1.97529,0.00052,0.00052,0.00052
2,30.0437,1.39442,2.02843,1.79422,0.73624,0.61702,0.65552,0.28944,1.55167,3.20011,2.43396,0.00104951,0.00104951,0.00104951
3,38.635,1.44245,1.90951,1.82381,0.29762,0.2766,0.19559,0.07137,2.37734,3.75927,3.34473,0.00156832,0.00156832,0.00156832
4,47.3114,1.43844,1.81073,1.82127,0.2059,0.40426,0.18749,0.04354,2.84007,3.37433,3.74101,0.0019406,0.0019406,0.0019406
5,55.5953,1.45716,1.73376,1.79736,0.41498,0.55849,0.42499,0.17569,2.08917,2.59071,3.72295,0.0019208,0.0019208,0.0019208
6,63.8851,1.49796,1.70833,1.84267,0.26135,0.14894,0.10371,0.03351,2.92088,3.61879,3.72,0.001901,0.001901,0.001901
7,72.4528,1.48383,1.63929,1.84225,0.40374,0.60517,0.4426,0.12777,2.10806,2.43702,2.97888,0.0018812,0.0018812,0.0018812
8,81.1843,1.44991,1.63409,1.82295,0.55058,0.7038,0.58809,0.29249,1.59437,2.00051,2.31431,0.0018614,0.0018614,0.0018614
9,89.6966,1.35038,1.48927,1.75004,0.67849,0.70213,0.73133,0.33887,1.81385,1.54349,2.53927,0.0018416,0.0018416,0.0018416
10,98.2086,1.40352,1.47683,1.79289,0.77283,0.65159,0.71249,0.3446,1.79357,1.89661,2.42534,0.0018218,0.0018218,0.0018218
11,106.646,1.35723,1.45994,1.74444,0.87692,0.75811,0.79544,0.43085,1.59662,1.53148,2.40772,0.001802,0.001802,0.001802
12,115.101,1.33065,1.35233,1.71378,0.76944,0.70213,0.73595,0.32602,1.99812,1.91026,3.07309,0.0017822,0.0017822,0.0017822
13,123.644,1.39703,1.45602,1.77761,0.70571,0.57447,0.55708,0.20147,2.34483,2.2268,3.84027,0.0017624,0.0017624,0.0017624
14,132.161,1.31285,1.36577,1.69592,0.86516,0.76596,0.80378,0.37753,1.74786,1.29189,2.34958,0.0017426,0.0017426,0.0017426
15,140.606,1.29584,1.31054,1.67145,0.8577,0.65957,0.8168,0.43257,1.62371,1.67055,2.27827,0.0017228,0.0017228,0.0017228
16,149.078,1.28512,1.30045,1.66765,0.89618,0.73479,0.82272,0.453,1.53963,1.08423,2.17882,0.001703,0.001703,0.001703
17,157.413,1.30262,1.24951,1.67051,0.86008,0.78478,0.90233,0.53589,1.47166,1.00661,2.06598,0.0016832,0.0016832,0.0016832
18,165.811,1.28567,1.22974,1.66157,0.89675,0.73929,0.85926,0.46681,1.50477,1.17803,2.04238,0.0016634,0.0016634,0.0016634
19,174.412,1.28015,1.22901,1.64253,0.75707,0.76596,0.77787,0.44736,1.53969,1.28475,2.05891,0.0016436,0.0016436,0.0016436
20,182.919,1.29469,1.18701,1.67442,0.90534,0.76596,0.89117,0.5024,1.56524,0.95212,2.13228,0.0016238,0.0016238,0.0016238
21,191.488,1.28369,1.21399,1.65712,0.9401,0.80851,0.90038,0.48642,1.55894,0.9659,2.12984,0.001604,0.001604,0.001604
22,199.98,1.25311,1.17594,1.64974,0.96737,0.80851,0.92512,0.50976,1.44328,0.93613,1.93025,0.0015842,0.0015842,0.0015842
23,208.826,1.24839,1.13677,1.63247,0.9345,0.91073,0.95024,0.49221,1.68261,0.82427,2.22245,0.0015644,0.0015644,0.0015644
24,217.676,1.22473,1.10333,1.61333,0.88761,0.78723,0.89693,0.51525,1.32568,0.93036,1.83529,0.0015446,0.0015446,0.0015446
25,236.668,1.19844,1.10538,1.60481,0.78846,0.87233,0.85199,0.47403,1.44011,1.33913,2.05241,0.0015248,0.0015248,0.0015248
26,245.511,1.24459,1.11239,1.60888,0.87744,0.76168,0.80376,0.45557,1.67564,1.17448,2.27963,0.001505,0.001505,0.001505
27,254.172,1.21578,1.12159,1.62187,0.90867,0.80851,0.90162,0.52238,1.37453,0.93968,1.8689,0.0014852,0.0014852,0.0014852
28,262.837,1.19983,1.07784,1.56145,0.92466,0.78345,0.85215,0.55535,1.29523,0.90806,1.92584,0.0014654,0.0014654,0.0014654
29,271.39,1.13651,1.02486,1.55196,0.98825,0.80851,0.912,0.52657,1.36809,0.88855,1.91495,0.0014456,0.0014456,0.0014456
30,280.016,1.17192,1.02958,1.56393,0.89353,0.89281,0.92182,0.48561,1.54918,0.90467,2.05827,0.0014258,0.0014258,0.0014258
31,288.546,1.09714,1.00404,1.50803,0.93092,0.86034,0.9439,0.57747,1.23531,0.73555,1.84976,0.001406,0.001406,0.001406
32,297.084,1.18961,1.06585,1.59061,0.85922,0.82979,0.89839,0.54432,1.36046,0.82058,1.84611,0.0013862,0.0013862,0.0013862
